,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
6,mehr Parkplätze in der Innenstadt,w,21-30,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
6,"mehr Bäume pflanzen, statt Topfpflanzen aufstellen",w,21-30,Innenstadt,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Altbauten sanieren, statt hässliche Neubauten, die nicht ins Stadtbild passen",w,21-30,Innenstadt,,,,,,,,,,,,,x,,,x,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fahrradwege ausbauen,w,21-30,Innenstadt,,,,x,x,x,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Möglichkeiten für mehr kulturelle Angebote unter freiem Himmel schaffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,
8,"In den Straßen der Altstadt für die Anwohner kostenloses Parken mit Parkausweis der Stadt Fürth ermöglichen, für alle anderen Parkgebühren.",w,61-70,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
8,Ein Parkhaus für die Bewohner der Altstadt bauen bzw mehr Dauerparkplätze im Parkhaus am Scherbsgraben anbieten,w,61-70,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,",Parkmöglichkeiten für ambulante Pflegedienste schaffen",w,61-70,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ein Nachbarschaftshaus ins Leben rufen.,w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
8,Bei geplanten Aktionen in der Stadt vorher immer die Fachstelle für Seniorinnen und Senioren und die Belange von Menschen mit Behinderung (fübs) zu Rate ziehen.,w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
9,"Reduzierung des Durchgangsverkehrs (PKW,LKW)",w,70+,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,mehr Raum für Radfahrer und Fußgänger,w,70+,Hardhöhe,,,,x,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,
9,konsequentes Freihalten der Fluss-Auen von Bebauung,w,70+,Hardhöhe,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,x,,,,,,,,
9,öffentlichen Nahverkehr verbilligen,w,70+,Hardhöhe,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
10,"Was mir aktuell fehlt, sind z.B. e-Ladesäulen im Innenstadtbereich. Wir würden als nächstes ggf. gern ein e-Auto anschaffen, aber wenn man wie wir in der Marienstraße lebt, hat man kaum eine Möglichkeit das Auto wohnortnah außerhalb von Parkhäusern zu laden.",w,31-40,Innenstadt,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Was auch fehlt sind Orte der Begegnung für Menschen unterschiedlichster Herkünfte und Hintergründe. Jede*r bleibt in seiner/ihrer Blase, Verständnis für Lebensrealitäten abseits der eigenen wird so nicht gefördert, das ist schade.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,
10,"Insgesamt würde ich der Stadt endlich einmal die erste Oberbürgermeister*in (weiblich oder divers) wünschen. Eine, die -Klimaschutz zur Priorität macht.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
10,"Jüngere Kultur hat in der Stadt offenbar keinen Fokus, es wäre schön, wenn sich da etwas tun würde.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
10,Als Veganerin würde ich mir ein breiteres Angebot an gesundem pflanzenbasiertem Essen wünschen.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Für die Innenstadt würde ich mir mehr individuelle Geschäfte wünschen, die keine Ramschläden oder irgendwelche Ketten sind, die es absolut überall gibt.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
11,Fußgängerzone als Raum für kleine Läden,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,x,,,,,x,,
11,"Kleinbetreiber, weg von fast ausschließlich Ketten (Handyläden, Fastfood, Fast-Fashion)afür braucht es eine strukturelle Veränderung, die den Turbokapitalismus am Immobilienmarkt abmildert und den Willen / eine Kampagne seitens der politischen Führung",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
11,Digitalisierung der Standard-Amtsgänge,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,
11,365 EUR ÖPNV-Ticket (pro Jahr) für alle und rabattiert für Menschen unter bestimmter Einkommensgrenze,m,31-40,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,breitere Geh- und Fahrradwege im Wiesengrund,m,31-40,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
11,"Die unterschiedlichen Bürger:innenschichten mischen sich besser; es findet mehr Austausch zwischen Menschen statt, die normalerweise keine Berührungspunkte haben; helfen könnte dabei ein Innerstädtischer Ort der Begegnung (Art Jugendhaus für alle Altersgruppen)",m,31-40,Innenstadt,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x,,x,,,,,x,,,x,,x,,,,,
11,"Kofferfabrik geht in städtischen Besitz über, wird saniert, verpachtet und als der Ort weitergeführt, der er heute ist; dieser Ort ist ein Schatz für jede Stadt, weil er eben nicht die gnadenlose Kapitalisierung verkörpert.",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,
11,Feuerwache ist Kulturort für alle Interessensgruppen der Stadt Fürth (könnte der vorher beschriebene Ort der Begegnung sein),m,31-40,Innenstadt,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,x,,x,x,,,,x,x,x,,,,
11,"Jedes Fürther Kind bekommt sicher einen für die Eltern leistbaren Kita-, Kindergarten- und Schulplatz",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,
11,Vorkaufs-/Vormietrecht für Bürger:innen der Stadt auf Immobilien in Kombination mit reglementierten Wohnmarktpreisen (Bodenrichtwertentwicklung ist jährlich prozentual gedeckelt); wohnen ist ein Grundrecht und sollte nicht derart vom Turbokapitalismus vereinnahmt werden,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
11,Städtische Initiative oder Finanzierung zur Lebensmittelrettung/-verteilung; sollte nicht alleine von ehrenamtlichen ausgehen,m,31-40,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,
11,Es gibt keine Kinderarmut mehr in der Stadt,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,
11,längere Öffnungszeiten in der Gusti (wichtig für unsere Nachtkultur und die jungen Menschen der Stadt; außerdem Konkurrenzfähigkeit zu Nürnberg/Erlangen),m,31-40,Innenstadt,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,
11,"Förderung von Leichtfahrzeugen mit alternativen Antriebstechnologien, anstelle von hochmotorisierten SUVs & Co.; das bisherige Konzept ergibt ökologisch und ökonomisch innerstädtisch keinen Sinn und hat somit nichts mit Nachhaltigkeit zu tun",m,31-40,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
11,Energie ist zu 100% wirklich (!) erneuerbar für jede:n Bürger:in bezieh- und leistbar und nicht durch eine Kompensationsrechnung von Zertifikaten schön gerechnet (von eigentlich etwas über 50% auf 100% erneuerbar),m,31-40,Innenstadt,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
11,Mehr Grünflächen in der Innenstadt,m,31-40,Innenstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,
11,"Auf allen Dächern, auf denen es energetisch einigermaßen Sinn ergibt ist eine Solaranlage; auch in der Innenstadt und Industrieparks; in Industrieparks ggf. auch Windräder(?)",m,31-40,Innenstadt,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
11,Städtische Veranstaltungen werden nach einem CO2-Neutralitäts- oder zumindest Reduzierungs-Konzept geplant und durchgeführt,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,,,,,,,,,,
11,"Es gibt eine Talentschmiede / Kampagne für Menschen, die sich politisch engagieren wollen; für mehr Vielfalt in und Zugang zu politischer Arbeit",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,
12,Verkehr in der Innenstadt weiter reduzieren,m,61-70,Ronhof,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
12,tristes Aussehen unter den Brücken (z.B. Ludwigsbrücke) verbessern (z.B. mit gemalten Szenenbildern in Kombi mit Bepflanzungen),m,61-70,Ronhof,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
12,"weiterhin mehr ""Begrünung"" in der Stadt schaffen",m,61-70,Ronhof,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tankstellen mit Elektro-Ladestationen versehen - weiterer Ausbau der regenerativen Energieversorgung (städtisch und Förderung für privat) zur weitestgehend unabhängigen Eigenversorgung - Sicherung der Wasserversorgung und Wasserqualität (Ausschluss der Privatisierung),m,61-70,Ronhof,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
12,mehr Freizeiteinrichtungen für die Jugend schaffen,m,61-70,Ronhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,
12,Integrationsmöglichkeiten erweitern (z.B. kulinarische Veranstaltungen),m,61-70,Ronhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,
12,keine weiteren Auto-/Bahntrassen im Umland,m,61-70,Ronhof,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"öffentlicher Verkehr nur mit Elektroantrieb und zu Preisen anbieten, durch die die Anzahl der Autofahrer in der Stadt deutlich reduziert werden kann",m,61-70,Ronhof,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Stadtplanung: Wohnen, Einkaufen, Kinderbetreuung, Jugendclubs gehören zusammen. Wohnviertel müssen immer dies vereinen.",m,51-60,Dambach,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,x,,,,,,,,,,,
13,"Keine langen Wege. Integration lebensnah, keine Stadtviertel mit vorwiegend einer Ethnie.",m,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
13,"Schulen gemischt, bessere Lernkonzepte (Montessori).",m,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,
13,"Arbeit für Asylbewerber, Duldung nur bei Integrationswillen.",m,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,
13,"Mehr fürs Homeoffice tun! Mittagessen, Motivation zur Bewegung, WLAN überall.",m,51-60,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Entlastung Armer Menschen, Seelische Gesundheit fördern",w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
15,"öffentlichen Nahverkehr deutlich günstiger machen, damit es eine echte Alternative zum Auto wird. Aktuell ist Autofahren (trotz der horrenden Spritpreise) immer noch billiger als ""die Öffis"" (!)",w,31-40,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,
16,"Mehr Sitzbänke in der Fußgängerzone, mehr Begrünung der Fußgängerzone,",w,51-60,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,
16,Kärwa raus aus der Fürther Freiheit,w,51-60,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,
17,"Viel mehr Flächenentsiegelung in der Innenstadt und Baumpflanzungen von hohen, schattenspenden Bäumen. Konsequente Begrünung von Fassaden sowie finanzielle Unterstützung für Dach und Fassadenbegrünung Strengere Vorschriften diesbezüglich mit finanzieller Unterstützung",w,41-50,Espan,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Radwege verbessern, die die Innenstadt vernetzen.",w,41-50,Innenstadt,,x,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Autoverkehr ,-Stellplätze verringern.",w,41-50,Innenstadt,,,,,x,,,,,,,,,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quartiersparkhäuser bauen.,w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Ladenmieten in der Innenstadt verringern, damit da nicht nur Ladenketten sind.",w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,
19,Mehr Rad- und Fußwege. Mehr Straßenbäume.,w,41-50,Südstadt,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,
19,Zone 30 im ganzen Innenstadtbereich.,w,41-50,Südstadt,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dezentrale Autoparkplätze außerhalb der Innenstadt.,w,41-50,Südstadt,,x,,,x,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mehr einladende Begegnungsplätze in den Stadtteilen schaffen bzw. bestehende Flächen/Plätze einladender gestalten.,w,41-50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,
20,Motorisierten Individualverkehr reduzieren um 50 % zugunsten Fuss- und Radverkehr,m,61-70,Dambach,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ausbau und einfache Preisgestaltung ÖPNV - PV/Solarthermie auf (fast) alle Dächer mit aktiver kommunaler Förderung,m,61-70,Dambach,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Ich denke, seitens des Rathauses ist hier alles sehr fein. Allerdings schiessen ausführende Organe (Tiefbauamt, Ordnungsamt... etc) übers Ziel hinaus.... Hier passiert einiges, was einer lebenswerten Stadt im Weg steht...",m,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
22,viel mehr Fahrradwege und barrierefreie Unterführungen von der Südstadt in die Innenstadt; ;,w,41-50,Südstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,kostenfreier ÖPNV für alle SchülerInnen,w,41-50,Südstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
22,Halteverbote für Autos vor Schulen; Tempo 30 in der Stadt,w,41-50,Südstadt,,,,,,,,,x,,,,,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Grün in die Innenstadt. Weniger Parkplätze.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
23,Schwimmen dürfen in der Pegnitz.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
23,"Begegnungszentren in schön, selbst gemacht und niederschwellig.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
24,Den Nahverkehr ausbauen und für ALLE Altergruppen attraktiv machen.,w,61-70,Espan,x,x,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
24,Kostenlose Fahrten für Bürger und Bürgerinnen z.B. ab 65 Jahren. Hier bleiben viele Senioren außen vor,w,61-70,Espan,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,
24,Enge Taktung der Busse. Busse/Minibusse für Abendveranstaltungen.,w,61-70,Espan,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"So viel wie möglich begrünen, Grünanlagen erhalten, weiter gut pflegen.",w,61-70,Espan,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,
25,"autofreie Innenstadt, günstigeren ÖPNV insbes.",w,70+,Oberfürberg,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,im Stadtgebiet Fürth mehr Grünflächen mit Ruhemöglichkeiten mehr Begegnungsstätten in den Wohnvierteln,w,70+,Oberfürberg,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
26,Weniger Verkehr in der und durch die Stadt. Tempo sehr stark begrenzen auf max. 30 kmh im Stadtgebiet.,m,31-40,Innenstadt,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Da die Stadt teilweise sehr stark versiegelt ist muss für ein lebenswerteres Fürth mehr Grün in den Wohnvierteln her wo versiegelt ist.,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
26,"Autos und Fahrradfahrer gleich viel Platz auf den öffentlichen Straßen geben, wenn Fahrradwege neu geplant werden. Fahrrad hat Vorfahrt, sodass sich Autofahrer anpassen müssen und dadurch vorsichtiger fahren. = weniger Unfälle. Fahrradwege müssen mindestens so breit angelegt sein, dass darauf ein Lastenrad von einem normalen Fahrrad überholt werden kann.",m,31-40,Innenstadt,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Kleine regionale Läden fördern und Vorzug geben. Keine großen Ketten wie H&M, C&A, Mc Donalds etc. in die Stadt lassen.",m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
27,"Mehr Leben auf der Straßen, d.h. wenige Autos, Tempolimit. Evt. Spielstraße",w,31-40,Innenstadt,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
27,Mehr Rücksicht auf die Fahrradfahrer:innen,w,31-40,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Bezahlbare Wohnungen, Zusammenleben von Menschen mit und ohne Migrationsgeschichte, ein Treffpunkt für sie, wo alle tatsächlich willkommen sind.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
28,Die Parkplätze in der Innenstadt ALLE erhalten! Das macht die Stadt und Ihre Läden attraktiv!,m,61-70,Burgfarrnbach,,x,,,x,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
